"refPalme","number","RefID","Journal","Research.area","Title","Population","Animal.Group","immunoassay","Parallelism.reporting","Graph","Graph.type","Stats","Stats.type","DilutionLin","Stats.group","Stats.group.KF"
"1851",108,"https://doi.org/10.1016/j.applanim.2022.105746","Applied Animal Behaviour Science","Behavioral & Welfare Science","Can stress and anxiety be assessed in African elephants (Loxodonta africana) using self-directed behaviour? ","Wildlife","Proboscidea","EIA","Statement","","","","","","No stats",""
"1852",109,"https://doi.org/10.3390/ani12213014","Animals","Behavioral & Welfare Science","Limitations of spatial judgment bias test application in horses (Equus ferus caballus). ","Domestic Animals","Perissodactyla","RIA","No","","","","","","No stats",""
"1853",110,"https://doi.org/10.1016/j.jveb.2022.11.002","Journal of Veterinary Behavior","Behavioral & Welfare Science","Is the judgment bias test a good tool to assess the quality of horse management? ","Domestic Animals","Perissodactyla","RIA","No","","","","","","No stats",""
"1854",111,"https://doi.org/10.3390/ani12070897","Animals","Behavioral & Welfare Science","Preliminary findings on how different management systems and social interactions influence fecal glucocorticoid metabolites in white rhinoceros (Ceratotherium simum). ","Wildlife","Perissodactyla","EIA","Statement","","","","","","No stats",""
"1856",112,"https://doi.org/10.2460/ajvr.22.01.0001","American Journal of Veterinary Research","Veterinary & Clinical Sciences","Effect of pneumoperitoneum on gastrointestinal motility, pain behaviors, and stress biomarkers in guinea pigs (Cavia porcellus).","Domestic Animals","Rodentia","EIA","No","","","","","","No stats",""
"1904",113,"https://doi.org/10.4404/hystrix-00493-2021","Hystrix Ital. J. Mammal.","Ecology & Conservation","Physiological stress and spatio-temporal fluctuations of food abundance and population density in Eurasian red squirrels.","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1903",114,"https://doi.org/10.1186/s12917-022-03201-y","BMC veterinary research","Reproduction & Physiology","Glutathione S-transferase (GST) and cortisol levels vs. microbiology of the digestive system of sheep during lambing.","Domestic Animals","Artiodactyla","EIA","No","","","","","","No stats",""
"1902",115,"https://doi.org/10.1016/j.bbr.2022.113929","Behavioural Brain Research","Behavioral & Welfare Science","When left is right: The effects of paw preference training on behaviour in mice","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1857",117,"https://doi.org/10.1016/j.scitotenv.2021.149919","Science of The Total Environment","Ecology & Conservation","Fecal glucocorticoid metabolites and ectoparasites as biomarkers of heat stress close to roads in a Mediterranean lizard. ","Wildlife","Squamata","EIA","No","","","","","","No stats",""
"1858",118,"https://doi.org/10.3390/vetsci9080389","Veterinary Sciences","Veterinary & Clinical Sciences","Effects of Saccharomyces boulardii supplementation on nutritional status, fecal parameters, microbiota, and mycobiota in breeding adult dogs. ","Domestic Animals","Carnivora","EIA","Statement","","","","","","No stats",""
"1860",120,"https://doi.org/10.3389/fnbeh.2022.1062864","Frontiers in Behavioral Neuroscience","Behavioral & Welfare Science","Exposure to soiled bedding reduces abnormal repetitive behaviors in mice. ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1898",121,"https://doi.org/10.1002/ece3.8927","Ecology and Evolution","Ecology & Conservation","Is negative density‐dependent reproduction regulated by density‐induced stress in root voles? Two field experiments.","Wildlife","Rodentia","FIA (fluoresence)","Prev","","","","","","No stats",""
"1897",122,"https://doi.org/10.1016/j.ygcen.2022.113990","General and Comparative Endocrinology","Ecology & Conservation"," Sex-specific links between the social landscape and faecal glucocorticoid metabolites in semi-captive Asian elephants ","Wildlife","Proboscidea","EIA","Prev","","","","","","No stats",""
"1896",123,"https://doi.org/10.1016/j.beproc.2022.104662","Behavioural processes,","Behavioral & Welfare Science"," How environmental conditions affect sleep? An investigation in domestic dogs (Canis lupus familiaris) ","Domestic Animals","Carnivora","EIA","Prev","","","","","","No stats",""
"1895",124,"https://doi.org/10.3390/ruminants2020010","Ruminants","Behavioral & Welfare Science","Physiological and behavioral reactions of simmental dairy cows to increasing heat load on pasture.","Domestic Animals","Artiodactyla","EIA","Prev","","","","","","No stats",""
"1861",125,"https://doi.org/10.1016/j.bbr.2022.113963","Behavioural Brain Research","Neuroscience & Biomedical Research","The anxiogenic effects of adolescent psychological stress in male and female mice.","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1863",126,"https://doi.org/10.14202/vetworld.2022.647-654","Veterinary World","Reproduction & Physiology","Study of fecal glucocorticoid metabolites in captive Asian elephants in Kanchanaburi. ","Wildlife","Proboscidea","EIA","Prev","","","","","","No stats",""
"1865",127,"https://doi.org/10.17236/sat00373","Schw. Archiv. Tierheilkd. ","Reproduction & Physiology","Messung von Herzfrequenzen und Kotcortisolmetaboliten bei Pferden am Zürcher Sechseläuten. ","Domestic Animals","Perissodactyla","EIA","Prev","","","","","","No stats",""
"1867",129,"https://doi.org/10.1016/j.yhbeh.2022.105152","Hormones and Behavior","Reproduction & Physiology","Sex, not social behavior, predicts fecal glucocorticoid metabolite concentrations in a facultatively social rodent, the highland tuco-tuco (Ctenomys opimus).","Wildlife","Rodentia","EIA","Yes","Y","log-logit plot","Y","ANCOVA","N","Equality of slopes","Equality of slopes"
"1870",130,"https://doi.org/10.1093/jas/skac040","Journal of Animal Science","Behavioral & Welfare Science","Cattle acclimate more substantially to repeated handling when confined individually in a pen than when assessed as a group.","Domestic Animals","Artiodactyla","RIA","No","","","","","","No stats",""
"1871",131,"https://doi.org/10.1038/s42003-022-03574-8","Communications Biology volume","Ecology & Conservation","Social support correlates with glucocorticoid concentrations in wild African elephant orphans.","Wildlife","Proboscidea","EIA","Prev","","","","","","No stats",""
"1873",132,"https://doi.org/10.3390/ani12040457","Animals","Veterinary & Clinical Sciences","Evaluation of stress accompanying immunocontraceptive vaccination in donkeys.","Domestic Animals","Perissodactyla","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","Y","Descriptive stats-CV","N","Descriptive","??"
"1874",133,"https://doi.org/10.1038/s41598-022-06359-5","Scientific Reports ","Ecology & Conservation","Glucocorticoids coordinate changes in gut microbiome composition in wild North American red squirrels. ","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1875",134,"https://doi.org/10.1016/j.yhbeh.2022.105262","Hormones and Behavior","Ecology & Conservation","The glucocorticoid response to environmental change is not specific to agents of natural selection in wild red squirrels. ","Wildlife","Rodentia","EIA","No","","","","","","No stats",""
"1878",135,"https://doi.org/10.3389/fevo.2022.1065966","Frontiers in Ecology and Evolution","Ecology & Conservation","Effect of chronic traffic noise on behavior and physiology of plateau pikas (Ochotona curzoniae).","Wildlife","Rodentia","EIA","No","","","","","","No stats",""
"1879",136,"https://doi.org/10.3390/ani12111410","Animals","Reproduction & Physiology","Impact of indigestible materials on the efficiency of fecal corticosterone immunoassay testing in Pituophis species. ","Wildlife","Serpentes","EIA","No","","","","","","No stats",""
"1881",137,"https://doi.org/10.1016/j.nlm.2022.107649","Neurobiology of Learning and Memory","Neuroscience & Biomedical Research","Sex-dependent effects of chronic microdrive implantation on acquisition of trace eyeblink conditioning. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1882",138,"https://doi.org/10.1038/s41598-022-06395-1","Scientific Reports","Behavioral & Welfare Science","Development of behavioral patterns in young C57BL/6J mice: a home cage-based study. ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1883",139,"https://doi.org/10.3389/fnbeh.2022.877094","Frontiers in Behavioral Neuroscience","Neuroscience & Biomedical Research","Phenotyping young GluA1 deficient mice – a behavioral characterization in a genetic loss-of-function model","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1884",140,"https://doi.org/10.1016/j.yebeh.2022.108903","Epilepsy & Behavior","Neuroscience & Biomedical Research","Behavioral phenotyping of young Scn1a haploinsufficient mice","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1893",141,"https://doi.org/10.1098/rspb.2022.1022","Proceedings of the Royal Society B: Biological Sciences","Ecology & Conservation","Native species exhibit physiological habituation to invaders: a reason for hope.","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1888",142,"https://doi.org/10.3390/ani12010082","Animals","Neuroscience & Biomedical Research","Corticosterone metabolite concentration is not related to problem solving in the fawn-footed mosaic-tailed rat Melomys cervinipes","Wildlife","Rodentia","EIA","No","","","","","","No stats",""
"1886",143,"https://doi.org/10.3390/ani12233379","Animals","Behavioral & Welfare Science","The effect of transportation on puppy welfare from commercial breeding kennels to a distributor.","Domestic Animals","Carnivora","EIA","No","","","","","","No stats",""
"1887",144,"https://doi.org/10.1016/j.yhbeh.2022.105111","Hormones and Behavior","Behavioral & Welfare Science","Territorial scent-marking effects on vigilance behavior, space use, and stress in female Columbian ground squirrels. ","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1892",145,"https://doi.org/10.1016/j.yhbeh.2022.105127","Hormones and Behavior","Ecology & Conservation","Invasive alien species as an environmental stressor and its effects on coping style in a native competitor, the Eurasian red squirrel","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1894",146,"https://doi.org/10.1080/10888705.2021.1968863","Journal of Applied Animal Welfare Science","Behavioral & Welfare Science","Welfare improvement by enrichment programs in common marmoset females under social isolation.","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
