Reference number in Dr. Palme list,number,RefID,Author list,Journal,Research area,Title,City,Country,Population,Class,Animal Group,Latin Species,Species,"number 
 (of fecal samples)",RC%,immunoassay,Parallelism reporting,Parallism reporting comments,Graph,Graph type,Graph alignment,Graph comments,Stats,Stats type,Stats reported,Other stats info to extract?,Do they test Dilution linearity?,"If yes, what is reported?",Trouble-shooting,Solutions,Stats group,Stats group KF,Stats quality,Stats notes,Interpretation,
1820,39,https://doi.org/10.1098/rsbl.2021.0476,"Hammerschlag N, Fallows C,Meÿer M, Seakamela SM, Orndorff S, KirkmanS, Kotze D, Creel S",Biology Letters,Ecology & Conservation,Loss of an apex predator in the wild induces physiological and behavioural changes in prey.,Maiami/Cape Town/Bozeman,USA/South Africa,Wildlife,Mammalia,Carnivora,Arctocephalus pusillus pusillus,Cape fur seal,125,SerDil + added standard,EIA,Yes,"supplemetary material, statement and slopes ",N,,,,N,,,thet report the slopes,N,,,,No stats,,,,,
1802,40,https://doi.org/10.1002/zoo.21671,"Durge, S. M., Das, A., Saha, S. K., Pande, A., Thakuria, D., Saxena, A., Bhardvaj, Y., & Verma, A. K. ",Zoo Biology,Veterinary & Clinical Sciences,Dietary lutein supplementation improves immunity and antioxidant status of captive Indian leopards (Panthera fusca). ,Bareilly/Udgir/Karnal/Bhimtal/Nainital,India,Wildlife,Mammalia,Carnivora,Panthera fusca,Indian leopard,27,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
not in the list,41,https://doi.org/10.1002/zoo.21735,"Hartell‐DeNardo, J., Kozlowski, C., Baskir, E., Macek, M., Dorsey, C., & Powell, D. M.",Zoo Biology,Behavioral & Welfare Science,Behavior and adrenal physiology of Magellanic penguins (Spheniscus magellanicus) serving as ambassador animals.,St. Louis,USA,Wildlife,Aves,Sphenisciformes,Spheniscus magellanicus,Magellanic penguin,-,-,RIA,Yes,"Excrement extracts were tested for linearity by diluting five samples that contained high levels of GCM by 1/2, 1/4, and 1/8 with extraction buffer. Serial dilutions of excrement extracts measured an average of 92.2 ± 3.8% of expected values.",N,,,,N,,,,Y,mean ± error % of expected values,,,No stats,,,,,
1800,42,https://doi.org/10.19227/jzar.v10i2.654,"Donelan, E., Philpott, M., MacKinnon, K., Klosterman, K., & Roth, T.",Journal of Zoo and Aquarium Research,Behavioral & Welfare Science,"Faecal glucocorticoid metabolite concentrations associated with illness, sex, age, and season in a kea Nestor notabilis population at the Cincinnati Zoo and Botanical Garden.",Cincinnati,USA,Wildlife,Aves,Psittaciformes,Nestor notabilis ,kea,255,SerDil + added standard,EIA,Yes,They report that pooled and individual samples diluted neat to 1:128 ran parallel to standard curve (r=0.99),N,,,,Y,R-squared,r value,,N,,,,Other,Correlation/regression,Weak,"""Pooled and individual faecal extracts diluted neat to 1:128 ran parallel to the standard curve (r = 0.99).",,
1907,43,https://doi.org/10.7120/09627286.31.3.001,"Urita, C., Kusuda, S., & Rooney, N. (2022). Physiological and behavioural assessments of stress levels in owls housed at owl cafes.",Animal Welfare,Behavioral & Welfare Science,Physiological and behavioural assessments of stress levels in owls housed at owl cafes.,Langford/Gifu,USA/Japan,Wildlife,Aves,Strigiformes,Bubo bubo; Ptilopsis leucotis,eagle owl; African scops owl,65,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
1795,44,https://doi.org/10.3390/ani12131627,"Cope, H.R.; Keeley, T.;
Keong, J.; Smith, D.; Silva, F.R.O.;
McArthur, C.;Webster, K.N.; Mella,
V.S.A.; Herbert, C.A.",Animals,Reproduction & Physiology,Validation of an Enzyme Immunoassay to Measure Faecal Glucocorticoid Metabolites in Common Brushtail Possums (Trichosurus vulpecula) to Evaluate Responses to Rehabilitation.,Camperdown/Gatton/North Ryde,Australia,Wildlife,Mammalia,Marsupialia,Trichosurus vulpecula,common brushtail possums ,255,-,EIA,Yes,they tested multiple assay kits and report parallelism of seriald dilutins of pooled samples ,N,,,,Y,Linear regression,R-squared value,"in the Data analysis section of the methods they indicated that they used a linear regression, to test parallelism between serial dilutions of pooled samples and std curve",N,,,,Regression analysis,???,Vague,"!!! Report R2, but no indication of what that R2 represents",,
1805,45,https://doi.org/10.1016/j.yhbeh.2022.105228,"Edwards, M. J., Stanley, C. R., Hosie, C. A., Richdon, S., Price, E., Wormell, D., & Smith, T. E",Hormones and Behavior,Reproduction & Physiology,Social roles influence cortisol levels in captive Livingstone's fruit bats (Pteropus livingstonii). ,Chester/Bristol/Jersey,UK,Wildlife,Mammalia,Chiroptera,Pteropus livingstonii,Livingstone's fruit bat,92,SerDil + added standard,EIA,Yes,"They provide an entire section for immunological validation that includes specificity (parallelism?), accuracy, precision",N,,,,Y,ANCOVA,F and p value,the null Ho is no signficant difference between slopes thus parallel,N,,,,Slopes comparison,Equality of slopes,Fine,"""The concentrations of cortisol in serial dilutions of our representative pool were parallel to a standard curve of stock cortisol (F = 12.04, p = 0.096, where Ho = no significant difference between slopes). ",established the specificity of the assay to bind cortisol in this sample type ,
1891,46,https://doi.org/10.3161/15081109ACC2022.24.2.014,"Ružinská, R., & Kaňuch, P. ",Acta Chiropterologica,Reproduction & Physiology,Testing of Daubenton's bat (Myotis daubentonii) droppings for field behavioural endocrinology.,Zvolen,EU,Wildlife,Mammalia,Chiroptera,Myotis daubentonii,Daubenton’s bat,50,-,EIA,Prev,"They indicate that the assay was manufacturer-validated and was previously used for other bat species (Parry-Jones et al.,
2016)",,,,,,,,,,,,,No stats,,,,,
1913,47,https://doi.org/10.1080/15230430.2022.2146633,"Whipple, A. L., Ray, C., Varner, J., Kitchens, J. N., Hove, A. A., Castillo Vardaro, J. A., & Wilkening, J. L. ","Arctic, Antarctic, and Alpine Research,",Ecology & Conservation,"Stress-associated metabolites vary with both season and habitat across
populations of a climate sentinel species",Boulder/Asheville/Princeton/San Jose/Fort Collins,USA,Wildlife,Mammalia,Lagomorpha,Ochotona princeps,American pika,184,-,EIA,Prev,"Wilkening, Ray, and Sweazea 2013",,,,,,,,,,,,,No stats,,,,,
1777,48,http://dx.doi.org/10.17582/journal.jahp/2022/10.2.146.152,"Ahmad, M., Yasmeen, R., Qurashi, AW., Shah, MHA. ",Journal of Animal Health and Production,Reproduction & Physiology,Assessment of cortisol levels in captive blackbucks (Antilope cervicapra).,Lahore,Pakistan,Wildlife,Mammalia,Artiodactyla,Antilope cervicapra,blackbuck,24,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
1778,49,https://doi.org/10.3390/ani12030373,"Augustine, L., Baskir, E., Kozlowski, CP., Hammack, S., Elden, J., Wanner, MD., Franklin, AD., Powell, DM.",Animals,Behavioral & Welfare Science,Investigating welfare metrics for snakes at the Saint Louis zoo.,Saint Louis/Washington,USA,Wildlife,Reptilia,Squamata,Montivipera wagneri ,Wagner's viper,87,SerDil + added standard,EIA,Yes,They report the mean ± error % of expected values + parallelism with the standard curve,N,,,,Y,Test of equal slopes,p value,p > 0.05 = slopes are not significantly different,Y,mean ± error % of expected values,,,Slopes comparison,Equality of slopes & linearity (vague),Weak,"""Serial dilutions measured an average of 103...% of expected values and were parallel to the standard curve (test of equal slopes; p > 0.10)",,
1779,50,https://doi.org/10.1038/s41598-022-06307-3,"Aulehner, K., Bray, J., Koska, I., Pace, C., Palme, R., Kreuzer, M., Platt, B., Fenzl, T., Potschka, H. ",Scientific reports,Behavioral & Welfare Science,The impact of tethered recording techniques on activity and sleep patterns in rats. ,Munich/Vienna/Aberdeen,EU/UK,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,65,-,EIA,Prev,Analyses of fecal corticosterone metabolites and serum corticosterone were performed as described previously by Möller et al. 2018 and Lepschy et al. 2007,,,,,,,,,,,,,No stats,,,,,
1780,51,https://doi.org/10.1371/journal.pone.0276844,"Barabas, AJ., Soini, HA., Novotny, MV., Lucas, JR., Erasmus, MA., Cheng, HW., Palme, R., Gaskill, BN. ",PLoS ONE,Behavioral & Welfare Science,"Assessing the effect of compounds from plantar foot sweat, nesting material, and urine on social behavior in male mice, Mus musculus",West Lafayette/Bloomington/Vienna,USA/EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,71,-,EIA,Prev,"They indicate that the EIA used was succesfully validated for use in mice in a previous study:
Touma C, Palme R, Sachser N. Analyzing corticosterone metabolites in fecal samples of mice: A noninvasive technique to monitor stress hormones. Horm Behav. 2004; 45: 10–22. https://doi.org/10.1016/j.
yhbeh.2003.07.002 PMID: 14733887",,,,,,,,,,,,,No stats,,,,,
1783,52,https://doi.org/10.30802/AALAS-JAALAS-21-000024,"Bigelow, LJ., Cohen, AJ., Pimm, R., Knight, JB., Bernard, PB. ",Journal of the American Association for Laboratory Animal Science ,Behavioral & Welfare Science,Ultrasonic vocalization analysis as a novel metric to assess cage enrichment in rats. ,Chralottetown,Canada,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,15,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
1784,53,https://doi.org/10.1159/000525967,"Bigelow, LJ., Pope, EK., Knight, JB., Rock, JE., MacLeod, SK., Bernard, PB. ",Developmental Neuroscience,Behavioral & Welfare Science,The effects of rearing in a shelved environment on behavioral and physiological markers of welfare in rats (Rattus norvegicus). ,Chralottetown,Canada,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,50,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
1786,54,https://doi.org/10.1016/j.yhbeh.2022.105261,"Bottini, CLJ. Whiley, RE., Branfireu, BA., MacDougall-Shackleton, SA. ",Hormones and Behavior,Ecology & Conservation,"Effects of methylmercury and food stress on migratory activity in song sparrows, Melospiza melodia.",London - Ontario,Can,Wildlife,Aves,Passeriformes,Melospiza melodia,song sparrow,152,-,EIA,No,Only inter and intra CV are reported,,,,,,,,,,,,,No stats,,,,,
1787,55,https://doi.org/10.1371/journal.pone.0277420,"Brandell, EE. Jackson, MK., Cross, PC., Piaggio, AJ., Taylor, DR., Smith, DW., Boufana, B., Stahler, DR., Hudson, PJ. ",PLoS ONE,Ecology & Conservation,Evaluating noninvasive methods for estimating cestode prevalence in a wild carnivore population.,University Park/Yellow Stone Park/Bozeman/Fort Collins/York,USA/UK,Wildlife,Mammalia,Carnivora,Canis lupus ,wolf,110,-,RIA,No,"No validation mentioned, only ""This assay was selected because it cross-reacts with fecal glucocorticoid metabolites in a variety of mammalian species [56]. "" and report detection limits.",,,,,,,,,,,,,No stats,,,,,
1788,56,https://doi.org/10.1016/j.jneumeth.2021.109387,"Butcher, G. Davidson, A., Sloan, A., Schneider, L., Lund, A., Becker, A. ",Journal of Neuroscience Methods,Behavioral & Welfare Science,An apparatus for automatically training and collecting individualized behavioral data with socially housed rodents.,Denton,USA,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,16,-,EIA,No,no validation mentioned,,,,,,,,,,,,,No stats,,,,,
1790,57,https://doi.org/10.1002/wlb3.01011,"Carlin, E. Somers, MJ., Scheun, J., Campbell, R., Ganswindt, A. ",Wildlife Biology,Behavioral & Welfare Science,Quantification of faecal glucocorticoid metabolites as a measure of stress in the rock hyrax Procavia capensis living in an urban green space.,Pretoria,South Africa,Wildlife,Mammalia,Hyracoidea,Procavia capensis ,rock hyrax ,163,storage,EIA,Statement,"""Serial dilutions of faecal extracts gave displacement curves that were parallel to the respective standard curves (relative variation (%) of the slopes of respective trend lines < 5%) for both assays.""",,,,,,,,,,,,,No stats,,,,,
1909,58,https://doi.org/10.1186/s40850-022-00126-9,"Vaz J, Bartley A, Hunt J",BMC Zoology,Behavioral & Welfare Science,Personality matters: exploring the relationship between personality and stress physiology in captive African lions,Penrith,Australia,Wildlife,Mammalia,Carnivora,Panthera leo,African lion,22,added standard,EIA,Statement,"They first refer to Arbor Assay, that has validated Cortisol for multiple species including lion,then they state that because the values from their samples fell within the linear range of the curve, then the assay is analitically reliable. Finally, they indicated they did parallel dispacements followed but linear regression analysis of the percent binding of the standard curve and the serial dilutions, but it is not clear what the serial dilution was made of. I think it is for extraction efficiency , so it is extracts spiked with a synthethic CORT . (There is a figure S1)",,,,,,,,,,,,,No stats,,,,,
1880,59,https://doi.org/10.3390/ani12070849,"Ramos A, Robin J-P, Manizan L, Audroin C, Rodriguez E, Kemp YJM, Sueur C",Animals,Reproduction & Physiology,"Glucocorticoids of European Bison in Relation to Their Status: Age, Dominance, Social Centrality and Leadership",Strassbourg/Velserbroek/Nijmegen/Paris,EU,Wildlife,Mammalia,Artiodactyla,Bison bonasus,European bison,109,-,EIA,Prev,"FGCM analysis done at Dr. Palme's lab referring to his protocol (attached as supp). For validation, the paper refers to 6 previos studies that have validate/checked the protocol in many species including ungulates [61-66]-Touma et al. 2005; Wagnert et al. 2012; Veissier et al. 2018; Christensen et al. 2021: Lemaitre et al. 2021; Kovacs et al. 2021)",,,,,,,,,,,,,No stats,,,,,
1839,60,https://doi.org/10.1016/j.therwi.2022.100011,"LaDue CA, Hunt KE, Samaraweera MS, Vandercone RP, Kiso WK, Freeman EW",Theriogenology Wild,Reproduction & Physiology,Physical and behavioral indicators associated with hormonal changes during musth in zoo-housed and free-ranging Asian elephants (Elephas maximus),Fairfax/Oklahoma City/Manassas/Front Royal/Polgolla/Dallas,USA/Sri Lanka,Wildlife,Mammalia,Proboscidea,Elephas maximus,Asian elephant,54,-,EIA,Yes,Detailed description in the methods of how parallelism was performed with 12 serial dilutions of pooled fecal extract assayed wiht the standard curve; graphs are reported in supplementary material; F test resutls reported in the main text; difference of slopes assessed with F test,Y,sigmoid curve (x-axis log transformed),centered at 50% binding,,Y,F-test,"F, df and p-value",,N,,,,Slopes comparison,Equality of slopes,Fine,"""Each assay showed good parallelism with slopes not significantly different from those of the standard curves: testosterone (F1,11 = 0.315, P = 0.586), corticosterone (F1,8 = 2.763, P = 0.135), and T3 (F1,10 = 2.576, P = 0.140), indicating that assay antibodies bound well to the fecal hormone metabolites (Fig. S1). ","""indicating that assay antibodies bound well to the fecal hormone metabolites",
1793,61,https://doi.org/10.1016/j.ygcen.2022.113985,"Christensen, C., Bracken, AM., O'Riain, MJ., Heistermann, M., King, AJ., Fürtbauer, I. ",General and Comparative Endocrinology,Reproduction & Physiology,Simultaneous investigation of urinary and faecal glucocorticoid metabolite concentrations reveals short- versus long-term drivers of HPA-axis activity in a wild primate (Papio ursinus). ,Swansea/Rondebosch/Göttingen,UK/South Africa/EU,Wildlife,Mammalia,Primates,Papio ursinus,chacma baboon,603,-,EIA,Prev,"The assay has been previously used successfully to track adrenocortical activity in numerous primate species of all major taxa (e.g., ...), including species of the baboon clade (Carrera et al., 2020; Kalbitzer et al., 2015). ",,,,,,,,,,,,,No stats,,,,,
1794,62,https://doi.org/10.1016/j.applanim.2022.105560,"Christensen, JW., Strøm, CG., Nicová, K., de Gaillard, CL., Sandøe, P., Skovgård, H. ",Applied Animal Behaviour Science,Behavioral & Welfare Science,Insect-repelling behaviour in horses in relation to insect prevalence and access to shelters.,Tjele/Frederiksberg/Prague,EU,Domestic Animals,Mammalia,Perissodactyla,Equus caballus,horse,39,-,EIA,Prev,"samples were analysed as described in Merl et al. (2000) and Palme and Mostl ¨ (1997), using an 11-oxoaetiocholanolone enzyme immunoassay, validated for horses (Mostl ¨ et al., 1999). ",,,,,,,,,,,,,No stats,,,,,
1797,63,https://doi.org/10.3390/ani12182355,"Dabbou, S., Mugnai, C., Soglia, D., Tarantola, M., Macchi, E., Sartore, S., Bergagna, S., Pagliasso, G., Schiavone, A. ",Animals,Behavioral & Welfare Science,Multifactorial evaluation of regrouping effects on performance and welfare in two Italian dual-purpose chicken breeds: Bianca di Saluzzo and Bionda Piemontese.,San Michele all’Adige/Grugliasco/Turin,EU,Domestic Animals,Aves,Galliformes,Gallus domesticus,chicken,96,-,EIA,Yes," All of the dropping samples were analyzed at multiple dilutions (1:4, 1:8, 1:16 and 1:32), and all regression slopes were parallel to the standard curve (r2 = 0.987).",N,,,,Y,R-squared,R-squared value,in the Data analysis section of the methods they indicated that all regression slopes the samples analysed were parallel to the standard curve (r2 = 0.987),N,,,,Other,Correlation/regression,Confused,"""All regression slopes were parallel to the standard curve (R2 = 0.987)"" --??why just 1 r2 for ""all"" regression slopes?",,
1918,64,https://doi.org/10.3390/biology11020291,"Zernig, G., Ghareh, H., & Berchtold, H.",Biology,Behavioral & Welfare Science," Effects of Cohousing Mice and Rats on Stress Levels, and the Attractiveness of Dyadic Social Interaction in C57BL/6J and CD1 Mice as Well as Sprague Dawley Rats.",Innsbruck,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. Domesticus; Rattus norvegicus f. Domesticus,laboratory mouse; laboratory rat,80,-,EIA,Prev,"they do not explicitely talk about validation of the assay but say "" the kit can be used to quantify FCM in rodents as well [26]."". They make a reference to  Abelson et al 2016 (doi:10.21873/invivo.10989) to support the use of EIA developed for human on mice. Abelson et al 2016 tested fecal and serum CORT from mice using multiple assay system and it only report biological validation. ",,,,,,,,,,,,,No stats,,,,,
1919,65,https://doi.org/10.1007/s00360-022-01429-6,"Zhang, V., Buck, L.",Journal of Comparative Physiology B,Ecology & Conservation,"Seasonal patterns in behavior and glucocorticoid secretionof a specialist Holarctic tree squirrel (Sciurus aberti)",Seattle/Flagstaff,USA,Wildlife,Mammalia,Rodentia,Sciurus aberti,Abert’s squirrel,285,-,EIA,Statement,the authors indicated the assay was validated with parallelism and accuracy check in the methods; no additional results or graphs are reported. ,,,,,,,,,,,,,No stats,,,,,
1798,67,https://doi.org/10.1002/ajpa.24464,"Dias, PAD.,	Coyohua-Fuentes, A., Chavira-Ramirez, DR., Canales-Espinosa, D., Rangel-Negrin, A.",American Journal of Biological Anthropology,Reproduction & Physiology,"Correlates of hormonal modulation in mantled howler monkey males, Alouatta palliate.",Xalapa/Ciudad de Mexico,Mexico,Wildlife,Mammalia,Primates,Alouatta palliata,mantled howler monkey,2671,SerDil ,CIA,Yes,Authors performed validation as described in Rangel-Negrín et al. (2014) and report results of the tests in Table 1. For parallelism: serial dilutions of fecal samples ran parallel standards,N,,,,Y,T-test,t and p value. ,lack of significant as indication of parallelism, N,,,,Slopes comparison,Equality of slopes,Weak,,,
1799,68,https://doi.org/10.3390/ani12111344,"Diel, F., Rauch, E., Palme, R., Sauter-Louis, C., Zeiler, E. ",Animals,Behavioral & Welfare Science,Exploring the evacuation of dairy cattle at night in collaboration with the fire brigade: How to prepare openings for swift rescue in case of barn fire.,Freising/Munich/Vienna,EU,Domestic Animals,Mammalia,Artiodactyla,Bos taurus,cattle (mixed breed),230,-,EIA,No,"No validation is mentioned, only ""Details of the EIA are described elsewhere [41,42]"". Then  authors report only inter and intra CV and sensitivity.",,,,,,,,,,,,,No stats,,,,,
1803,69,https://doi.org/10.1016/j.jveb.2022.07.002,"Ebisawa, K. Kusada, S., Nakayama, S., Pai, C., Kinoshita, R., Koie, H. ",Journal of Veterinary Behavior,Behavioral & Welfare Science,Effects of rearing methods on feather-damaging behavior and corticosterone metabolite excretion in the peach-faced lovebird (Agapornis roseicollis Vieillot).,Fujisawa/Yanagido Gifu/Yokohama,Japan,Wildlife,Aves,Psittaciformes,Agapornis roseicollis Vieillot,peach-faced lovebird ,244,-,EIA,No,Only inter and intra CV  and limit of detection are reported ,,,,,,,,,,,,,No stats,,,,,
1807,70,https://doi.org/10.1016/j.yhbeh.2022.105183,"Eleftheriou, A., Williams, SH., Luis, AD. ",Hormones and Behavior,Ecology & Conservation,Physiological links with behavior and ﬁtness: The acute adrenocortical response predicts trappability but not survival in male and female deermice.,Missoula,USA,Wildlife,Mammalia,Rodentia,Peromyscus maniculatus,deer mouse,574,-,EIA,Prev,"Authors refer to a previous study (Eleftheriou et al., 2020b) on the same species for methodology and info of the assay used.",,,,,,,,,,,,,No stats,,,,,
1809,71,https://doi.org/10.3390/ani12233303,"Fink, LB. Mukobi, A., Gruber, L., Reed, C., DeLibero, J., Jackson, S., Neill, S., Walz, J., Sines, C., VanBeek, B., Scarlata, CD., Wielebnowski, N. ",Animals,Behavioral & Welfare Science,"A longitudinal analysis of variability in fecal glucocorticoid metabolite concentrations in three orangutans (Pongo pygmaeus pygmaeus and Pongo pygmaeus abelii) before, during, and after transition from a regular habitat environment to temporary housing in indoor holding facilities. ",Portland,USA,Wildlife,Mammalia,Primates,Pongo pygmaeus pygmaeus/Pongo pygmaeus abelii,orangutan,1400,-,EIA,Yes,Chemical validation was provided by showing parallelisms between binding inhibition curves of orangutan fecal extracts and the standard curve for the corticosterone assay,Y,sigmoid curve (x-axis log transformed),Center at 50% binding,x axis  - hormone concentration,N,,,,N,,,,No stats,,,,,
1810,72,https://doi.org/10.19227/jzar.v10i1.593,"Fowler, KJ. Hopper, LM., Ross, SR., Leahy, M., Santymire, RM. ",Journal of Zoo and Aquarium Research,Behavioral & Welfare Science,Monitoring the behaviour and stress physiology of male gorillas Gorilla gorilla gorilla for one year following bachelor group formation.,Chicago/Baltimore/Atlanta,USA,Wildlife,Mammalia,Primates,Gorilla gorilla gorilla,gorilla  ,409,-,EIA,Prev,These assays were biologically and biochemically validated for western lowland gorilla FGM and FAM by Jacobs et al. (2014),,,,,,,,,,,,,No stats,,,,,
1917,73,https://doi.org/10.3390/ani12212927,"Zechner D, Schulz B, Tang G, Abdelrahman A, Kumstel S, Seume N, Palme R, Vollmar B",Animals,Behavioral & Welfare Science,"Generalizability, Robustness and Replicability When Evaluating Wellbeing of Laboratory Mice with Various Methods",Rostock/Vienna,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,-,-,EIA,No,"No reference to validation, just a list of references next to the assay used ",,,,,,,,,,,,,No stats,,,,,
1916,74,https://doi.org/10.1038/s41598-022-13924-5,"Xie, W., Lorenz, M., Poosch, F., Palme, R., Zechner, D., Vollmar, B., Grambow, E. and Strüder, D.,",Scientific Reports,Neuroscience & Biomedical Research,3D-printed lightweight dorsal skin fold chambers from PEEK reduce chamber-related animal distress. ,Rostock/Anhui/Wismar/Vienna,EU/China,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,42,-,EIA,No,"No reference to validation, just a list of references next to the assay used ",,,,,,,,,,,,,No stats,,,,,
1915,75,https://doi.org/10.3390/ani12131622,"Williams, E., Carter, A., Rendle, J., Fontani, S., Walsh, N.D., Armstrong, S., Hickman, S., Vaglio, S. and Ward, S.J.,",Animals,Behavioral & Welfare Science,The impact of COVID-19 zoo closures on behavioural and physiological parameters of welfare in primates.,Nottinghamshire/Loughborough/Perth/Warwickshire/Wolverhampton/MerseysideDurham,UK/Australia,Wildlife,Mammalia,Primates,Pan paniscus; Pan troglodytes; Papio anubis; Gorilla gorilla gorilla,bonobo; chimpanzee; olive baboon; western lowland gorilla,125,-,EIA,Yes,"They provide references of previous studies that validated the assays in primates (Cinque et al 2017), but they also performed analytical validation. The performed parallelism test between serial dilution of fecal extracts (1 sample per species diluted 1:10 to 1:160) and the standard curve. The used  a Spearman Rank corellation test to test the association between the two slopes. They report the results of the test (Section 2.3.4)",N,,,,Y,Correlation test,"r, p (rs = 1, p = 0.01)",,N,,,,Slopes comparison,Correlation/regression,Fine,Spearman rank correlation,,
1812,76,https://doi.org/10.1371/journal.pone.0264931,"Garai, ME., Roos, T., Eggeling, T., Ganswindt, A., Pretorius, Y., Henley, M. ",PLoS ONE,Behavioral & Welfare Science,Developing welfare parameters for African elephants (Loxodonta africana) in fenced reserves in South Africa. ,Port Alfred/Hoedspruit/Pretoria,South AFrica,Wildlife,Mammalia,Proboscidea,Loxodonta africana,African elephant,489,-,EIA,Prev,"This EIA has been shown to reliably detect adrenocortical function in African elephants [35]. --> Ganswindt A, Palme R, Heistermann M, Borragan S, Hodges JK. Non-invasive assessment of adrenocortical function in the male African elephant (Loxodonta africana) and its relation to musth. Gen Comp Endocrinol. 2003; 134: 156–166. https://doi.org/10.1016/s0016-6480(03)00251-x ",,,,,,,,,,,,,No stats,,,,,
1813,77,https://doi.org/10.1038/s41398-022-01855-8,"Gellner, AK., Sitter, A., Rackiewicz, M., Sylvester, M., Philipsen, A., Zimmer, A., Stein, V. ",Translational Psychiatry,Neuroscience & Biomedical Research,Stress vulnerability shapes disruption of motor cortical neuroplasticity. ,Bonn/Potsdam,EU,Laboratory Animals,Mammalia,Rodentia,Mus musculus f. domesticus,laboratory mouse,44,-,EIA,No,"No validation mentioned, only ""Corticosterone levels in both plasma and feces were determined by an ELISA kit according to the manufacturer’s instructions (Arbor Assays, K014-H5).""",,,,,,,,,,,,,No stats,,,,,
1815,78,https://doi.org/10.1016/j.ygcen.2021.113948,"Greenberg, D. Snyder, KP., Filazzola, A., Mastromonaco, GF., Schoof, VAM. ",General and Comparative Endocrinology,Reproduction & Physiology,"Hormonal correlates of male dominance rank, age, and genital coloration in vervet monkey (Chlorocebus pygerythrus).",Toronta,Canada,Wildlife,Mammalia,Primates,Chlorocebus pygerythrus,vervet monkey,143,-,EIA,Yes,"Linear regression analysis using log (relative dose) vs. percent antibody binding was done independently for the standard and sample dilution curves. 
We calculated the probability of a significant difference between the resulting curves using Soper (2021) and did not find a significant difference between the slopes of the standard curve and sample serial dilutions, indicating a high degree of parallelism (fARM t
= 0.63, p = 0.55, df = 6; fGCM t = 0.05, p = 0.96, df = 8, Fig. A.1)",Y,sigmoid curve (x-axis log transformed),Center at 50% binding,x axis  - log of hormone concentration,Y,T-test,"t, p value,df ","calculated using Soper, D.S. (2021). Significance of the Difference between Two Slopes Calculator [Software]. Available from https://www.danielsoper.com/statcalc",N,,,,Slopes comparison,Equality of slopes,Weak,"Use Soper online calculator, which effectively tests equality of slopes but is a wierd/awkward way to do it",,
1818,79,https://doi.org/10.3389/fpsyt.2022.827667,"Guo, Z. Li, S., Wu, J., Zhu, X., Zhang, Y. ",Frontiers in Psychiatry,Neuroscience & Biomedical Research,Maternal deprivation increased vulnerability to depression in adult rats through DRD2 promoter methylation in the ventral tegmental area. ,Changsha,China,Laboratory Animals,Mammalia,Rodentia,Rattus norvegicus f. domesticus,laboratory rat,40,-,EIA,No,"No validation mentioned, only ""The concentration of CORT in feces was measured using a Corticosterone EIA Kit (Cayman, Germany) following the manual instructions.""",,,,,,,,,,,,,No stats,,,,,
1819,80,https://doi.org/10.1016/j.animal.2022.100614,"Hamidi, D. Grinnell, NA., Komainda, M., Riesch, F., Horn, J., Ammer, S., Traulsen, I., Palme, R., Hamidi, M., Isselstein, J. ",Animal,Behavioral & Welfare Science,Heifers don’t care: No evidence of a negative impact on animal welfare of growing heifers when using virtual fences compared to physical fences for grazing. ,Göttingen/Vienna,EU,Domestic Animals,Mammalia,Artiodactyla,Bos taurus,cattle,48,-,EIA,Prev,"No validation mentioned, only ""This EIA measures 11,17-dioxoandrostanes, a group of cortisol metabolites, and has been developed in the laboratory of R. Palme (for details of the assays including cross-reactions, see Palme and Möstl (1997)).""",,,,,,,,,,,,,No stats,,,,,
